Product Name,Prices,Description,Reviews
"Samsung Galaxy S24 5G (Onyx Black, 128 GB)","₹49,999","8 GB RAM | 128 GB ROM
15.75 cm (6.2 inch) Full HD+ Display
50MP + 10MP + 12MP | 12MP Front Camera
4000 mAh Battery
Exynos 2400 Processor
1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories",4.6
"Samsung Galaxy S24 FE 5G (Mint, 256 GB)","₹45,999","8 GB RAM | 256 GB ROM
17.02 cm (6.7 inch) Full HD+ Display
50MP + 12MP | 10MP Front Camera
4700 mAh Battery
Exynos 2400e Processor
1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories",4.5
"REDMI Note-14 Pro 5G (Phantom Purple, 128 GB)","₹23,449","8 GB RAM | 128 GB ROM
16.94 cm (6.67 inch) Display
50MP + 8MP + 2MP | 20MP Front Camera
5500 mAh Battery
Dimensity 7300 Ultra Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",4.3
"REDMI Note 14 Pro 5G (Titan Black, 256 GB)","₹24,999","8 GB RAM | 256 GB ROM
16.94 cm (6.67 inch) Display
50MP + 8MP + 2MP | 20MP Front Camera
5500 mAh Battery
Dimensity 7300 Ultra Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",4.3
"vivo T4 Ultra 5G (Meteor Grey, 512 GB)","₹41,999","12 GB RAM | 512 GB ROM
16.94 cm (6.67 inch) Full HD+ AMOLED Display
50MP + 8MP + 50MP Periscope | 32MP Front Camera
5500 mAh Battery
Dimensity 9300+ Processor
1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories",4.5
"Samsung Galaxy A55 5G (Awesome Navy, 256 GB)","₹35,985","12 GB RAM | 256 GB ROM | Expandable Upto 1 TB
16.76 cm (6.6 inch) Full HD+ Display
50MP + 12MP + 5MP | 32MP Front Camera
5000 mAh Battery
Samsung Exynos 1480 Processor
1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories",4.3
"REDMI Note 14 Pro+ 5G (Titan Black, 128 GB)","₹27,999","8 GB RAM | 128 GB ROM
16.94 cm (6.67 inch) Display
50MP + 50MP + 8MP | 20MP Front Camera
6200 mAh Battery
7s Gen 3 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",4.3
"vivo T3 Ultra (Frost Green, 256 GB)","₹31,999","12 GB RAM | 256 GB ROM
17.22 cm (6.78 inch) Display
50MP + 8MP | 50MP Front Camera
5500 mAh Battery
Dimensity 9200+ Processor
1 Year Warranty on Handset and 6 Months Warranty on Accessories",4.5
"vivo V30 Pro 5G (Classic Black, 256 GB)","₹36,999","8 GB RAM | 256 GB ROM
17.22 cm (6.78 inch) Full HD+ Display
50MP + 50MP + 50MP | 50MP Front Camera
5000 mAh Battery
Dimensity 8200 5G Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",4.5
"vivo T4 Ultra 5G (Phoenix Gold, 512 GB)","₹41,999","12 GB RAM | 512 GB ROM
16.94 cm (6.67 inch) Full HD+ AMOLED Display
50MP + 8MP + 50MP Periscope | 32MP Front Camera
5500 mAh Battery
Dimensity 9300+ Processor
1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories",4.5
"Apple iPhone 13 (Blue, 128 GB)","₹44,999","128 GB ROM
15.49 cm (6.1 inch) Super Retina XDR Display
12MP + 12MP | 12MP Front Camera
A15 Bionic Chip Processor
1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6
"Xiaomi 14 CIVI (Cruise Blue, 256 GB)","₹36,999","8 GB RAM | 256 GB ROM
16.64 cm (6.55 inch) Display
50MP Rear Camera | 32MP + 32MP Dual Front Camera
4700 mAh Battery
8s Gen 3 Mobile Platform Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",4.3
"MOTOROLA Razr 60 (PANTONE Gibraltar Sea, 256 GB)","₹49,999","8 GB RAM | 256 GB ROM
17.53 cm (6.9 inch) Full HD+ Display
50MP + 13MP | 32MP Front Camera
4500 mAh Battery
Dimensity 7400X Processor
1 Year Warranty on Handset and 6 Months Warranty on Accessories",4.5
"Google Pixel 9A (Porcelain, 256 GB)","₹49,999","8 GB RAM | 256 GB ROM
15.96 cm (6.285 inch) Full HD+ Display
48MP + 12MP | 12MP Front Camera
5100 mAh Battery
Tensor G4 Processor
1 Year Domestic Warranty",4.4
"Google Pixel 9A (Iris, 256 GB)","₹49,999","8 GB RAM | 256 GB ROM
15.96 cm (6.285 inch) Full HD+ Display
48MP + 12MP | 12MP Front Camera
5100 mAh Battery
Tensor G4 Processor
1 Year Domestic Warranty",4.4
"OPPO Reno14 Pro 5G (Pearl White, 256 GB)","₹49,999","12 GB RAM | 256 GB ROM
17.35 cm (6.83 inch) Full HD+ Display
50MP + 50MP + 50MP | 50MP Front Camera
6200 mAh Battery
Dimensity 8450 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",4.5
"OnePlus 11 5G (Eternal Green, 128 GB)","₹35,999","8 GB RAM | 128 GB ROM
17.02 cm (6.7 inch) Display
50MP Rear Camera | 16MP Front Camera
5000 mAh Battery
domestic warranty of 12 months on phone & 6 months on accessories",4.4
"Samsung Galaxy S22 Plus 5G (Phantom White, 128 GB)","₹44,999","8 GB RAM | 128 GB ROM
16.76 cm (6.6 inch) Full HD+ Display
50MP + 12MP + 10MP | 10MP Front Camera
4500 mAh Lithium-ion Battery
Qualcomm Snapdragon 8 Gen 1 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories",4.4
